User ID,Date/Time,Device No.,Status
41,12/22/24 7:36,1,0
41,12/22/24 17:14,1,1
41,12/22/24 17:14,1,1
41,12/28/24 8:52,1,0
41,12/28/24 8:52,1,0
41,12/28/24 18:01,1,1
41,12/28/24 18:01,1,1
41,12/29/24 7:40,1,0
41,12/29/24 7:40,1,0
41,12/29/24 18:00,1,1
41,12/29/24 18:00,1,1
41,1/4/25 7:55,1,0
41,1/4/25 7:55,1,0
41,1/4/25 19:00,1,1
41,1/4/25 19:00,1,1
42,12/20/24 7:57,1,0
42,12/20/24 7:57,1,0
42,12/20/24 7:58,1,0
42,12/20/24 7:58,1,0
42,12/20/24 17:20,1,1
42,12/20/24 17:20,1,1
42,12/20/24 17:20,1,1
42,12/27/24 9:47,1,0
42,12/27/24 9:47,1,0
42,12/27/24 19:12,1,1
42,12/27/24 19:12,1,1
42,12/28/24 8:50,1,0
42,12/28/24 8:50,1,0
42,12/28/24 8:50,1,0
42,12/28/24 18:02,1,1
42,1/2/25 7:58,1,0
42,1/2/25 7:58,1,0
42,1/2/25 18:02,1,1
42,1/2/25 18:02,1,1
42,1/3/25 17:02,1,1
54,12/20/24 8:22,1,0
54,12/20/24 15:04,1,1
54,12/20/24 15:04,1,1
54,12/28/24 8:51,1,0
54,12/28/24 18:08,1,1
54,12/29/24 7:56,1,0
54,12/29/24 7:56,1,0
54,12/29/24 7:56,1,0
54,12/29/24 18:00,1,1
54,12/29/24 18:00,1,1
54,12/29/24 18:00,1,1
54,1/2/25 7:49,1,0
54,1/2/25 7:49,1,0
54,1/2/25 17:05,1,1
54,1/2/25 17:05,1,1
54,1/2/25 17:05,1,1
54,1/2/25 17:05,1,1
54,1/3/25 9:36,1,0
54,1/3/25 9:36,1,0
54,1/3/25 19:01,1,1
54,1/3/25 19:01,1,1
54,1/3/25 19:01,1,1
57,12/20/24 8:00,1,0
6,12/20/24 7:56,1,0
6,12/20/24 7:56,1,0
6,12/27/24 7:58,1,0
6,12/27/24 7:58,1,0
6,12/27/24 7:58,1,0
6,12/27/24 17:32,1,1
6,12/27/24 17:32,1,1
6,12/28/24 7:59,1,0
6,12/28/24 7:59,1,0
6,12/28/24 7:59,1,0
6,12/28/24 7:59,1,0
6,12/28/24 7:59,1,0
6,12/28/24 17:01,1,1
6,12/28/24 17:01,1,1
6,12/28/24 17:01,1,1
6,1/3/25 7:55,1,0
6,1/3/25 7:55,1,0
6,1/3/25 7:55,1,0
6,1/3/25 7:55,1,0
6,1/3/25 18:16,1,1
6,1/3/25 18:16,1,1
6,1/3/25 18:16,1,1
6,1/4/25 7:53,1,0
6,1/4/25 7:53,1,0
6,1/4/25 17:34,1,1
6,1/4/25 17:34,1,1
60,12/20/24 9:04,1,0
60,12/20/24 12:04,1,1
62,12/20/24 8:06,1,0
62,12/20/24 8:06,1,0
62,12/27/24 8:55,1,0
62,12/27/24 8:55,1,0
62,12/27/24 14:02,1,0
62,12/27/24 14:02,1,1
62,12/27/24 14:02,1,1
62,12/28/24 9:00,1,0
62,12/28/24 9:00,1,0
62,12/28/24 9:00,1,0
62,12/28/24 17:41,1,1
62,12/28/24 17:41,1,1
62,1/3/25 7:57,1,0
62,1/3/25 7:57,1,0
62,1/3/25 17:10,1,1
62,1/3/25 17:10,1,1
62,1/4/25 8:52,1,0
62,1/4/25 8:52,1,0
62,1/4/25 18:17,1,1
62,1/4/25 18:17,1,1
62,1/4/25 18:17,1,1
62,1/4/25 18:17,1,1
63,12/20/24 12:24,1,0
63,12/20/24 15:17,1,1
63,1/3/25 10:07,1,0
63,1/3/25 19:00,1,1
64,12/27/24 7:58,1,0
64,12/27/24 17:08,1,1
64,12/28/24 7:59,1,0
64,12/28/24 17:27,1,1
64,1/3/25 19:13,1,1
64,1/4/25 7:58,1,0
64,1/4/25 17:07,1,1
65,12/27/24 8:38,1,0
65,12/27/24 8:38,1,0
65,12/27/24 8:38,1,0
65,12/28/24 7:57,1,0
65,12/28/24 7:57,1,0
65,12/28/24 7:57,1,0
65,12/28/24 18:07,1,1
